,공원명,면적,지역,공원주소,X좌표(WGS84),Y좌표(WGS84),구주소,lat,lng
64,올림픽공원,1447122.0,송파구,서울특별시 송파구 올림픽로 424 (방이동),127.12295900000001,37.520934000000004,서울 송파구 방이동 88-3,127.120812783275,37.5205340628851
66,봉화산근린공원,1018689.0,중랑구,서울특별시 중랑구 묵동 산46-1,127.0923625,37.6106404,서울 중랑구 신내동,127.087206503699,37.6094991611529
67,북악산도시자연공원,954553.0,종로구,서울특별시 종로구 부암동 산2-6,126.97372949999999,37.5929992,서울 종로구 평창동 산 6-91,126.98115846919328,37.602081393947365
69,외국인묘지공원,13224.0,마포구,서울특별시 마포구 양화진길 46(외국인묘지공원),126.911414,37.546797,서울 마포구 합정동 142-1,126.911769148865,37.5465227992805
70,불광근린공원,130345.0,은평구,서울특별시 은평구 불광동 산33-1,126.9298962,37.6188016,서울 은평구 불광동 산 58-2,126.929976650648,37.6190791051954
71,불암산도시자연공원,5332422.0,노원구,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,127.09527140000002,37.6636719,서울 노원구 중계동 산 101-45,127.081494871112,37.6555053167396
72,용마폭포공원,5107964.0,중랑구,서울특별시 중랑구 면목동 산1-4 ,127.0905888,37.5731968,서울 중랑구 면목동 산 1-4,127.090053515636,37.5736051123377
73,사육신공원,47832.0,동작구,서울특별시 동작구 노량진로 191,126.94863600000001,37.5137049,서울 동작구 노량진동 155-1,126.948607098554,37.5138631848925
74,용왕산근린공원,213552.0,양천구,서울특별시 양천구 목동 199-51,126.8783125,37.5429593,서울 양천구 목동 199-51,126.878788691171,37.5431163369596
76,우장산근린공원,359435.2,강서구,서울특별시 강서구 내발산동 산4-5,126.844932,37.5541932,서울 강서구 내발산동 산 60-1,126.845438948235,37.5544696115285
77,삼일근린공원,36660.0,동작구,서울특별시 동작구 사당동 산24-17,126.9743686,37.4860183,서울 동작구 사당동 산 24-17,126.97468301366061,37.485453017097484
78,삼청근린공원,380735.0,종로구,서울특별시 종로구 북촌로 134-1 (우) 03050,126.9842875,37.5895821,서울 종로구 삼청동 산 2-1,126.983686538484,37.5895823159869
79,인왕산도시자연공원,1807420.9,종로구,서울특별시 종로구 옥인동 산 3-1 ,126.9578438,37.5849001,서울 종로구 무악동 산 2-39,126.96040897640032,37.57819455600351
80,상도근린공원,359342.8,동작구,서울특별시 동작구 성대로6사길 27-6(상도공원) ,126.9385469,37.492298999999996,서울 관악구 봉천동 1712-4,126.94794716652,37.4934028636291
81,일자산도시자연공원,632733.0,강동구,서울특별시 강동구 동남로 660(일자산공원),127.1574587,37.5431657,서울 강동구 둔촌동 산 140,127.151356340452,37.5330196344931
82,쌍문근린공원,328018.0,도봉구,서울특별시 도봉구 쌍문동 산80,127.02713159999999,37.6531456,서울 도봉구 쌍문동,127.026041269398,37.653136231364
83,수락산도시자연공원,6691885.3,노원구,서울특별시 노원구 상계동 산3-1,127.08136329999999,37.699232,서울 노원구 상계동 산 3-1,127.065364973013,37.6920670995472
84,송파나루근린공원(석촌호수),285757.0,송파구,서울특별시 송파구 잠실로 148 (잠실동) ,127.09830020000001,37.5069328,서울 송파구 신천동 32,127.10425807242,37.5119362451133
85,선유도근린공원,110407.0,영등포구,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,126.90014,37.543418,서울 영등포구 양화동 27-4,126.893483967446,37.5439954659147
86,손기정체육공원,29682.2,중구,서울특별시 중구 손기정로 101 ,126.9652702,37.5560189,서울 중구 만리동2가 6-1,126.965382244479,37.5560721669535
87,성북근린공원,137759.0,성북구,서울특별시 성북구 돈암동 616-1055,127.0078625,37.5948509,서울 성북구 돈암동 산 85-1,127.007790728969,37.5977101322247
88,봉제산공원,917190.0,강서구,서울특별시 강서구 화곡동 산41-6,126.85178359999999,37.5421979,서울 강서구 화곡동 산 41-6,126.851960042338,37.542327469887
89,서울창포원,51470.0,도봉구,서울특별시 도봉구 마들로 916(서울창포원) ,127.04793799999999,37.689585,서울 도봉구 도봉동 4-1,127.048225914503,37.6894639627464
90,북서울꿈의숲,662543.0,강북구,서울특별시 강북구 월계로 173,127.0407344,37.623335499999996,서울 강북구 번동 산 28-6,127.041572513966,37.6236047035134
